Code,Short Name(In Chinese),Short Name,Full Name,Web Site,;;;
600242,中昌数据,ZHONGCHANG MARINE,ZHONGCHANG MARINE COMPANY LIMITED,www.zchy.net.cn,;;;
600243,青海华鼎,QHHD,QingHai HuaDing Industrial C0.;Ltd.,www.qhhdsy.com,;;
600246,万通地产,BVRE,BEIJING VANTONE  REAL ESTATE CO.;LTD.,www.vantone.com,;;
600247,ST成城,CHENGCHENGGROUP,JILIN CHENGCHENG GROUP CO.;LTD,-,;;
600248,延长化建,ychj,Shaanxi  yanchang  petroleum  chemical engineering  Co.;Ltd.,www.ycpcec.com,;;
600249,两面针,LMZ,LIUZHOU LIANGMIANZHEN Co.; Ltd.,www.lmz.com.cn,;;
600250,南纺股份,NANTEX,NANJING TEXTILES IMP/EXP CORP.;LTD.,http://www.nantex.com.cn,;;
600251,冠农股份,GUANNONG SHARE,XINGJIANG GUANNONG FRUIT & ANTLER GROUP CO.; LTD.,http://www.gngf.cn,;;
600252,中恒集团,Zhongheng Group,Guangxi Wuzhou Zhongheng Group CO.;LTD.,http://www.wz-zhongheng.com,;;
600255,鑫科材料,AXNMC,AHHUI XINKE NEW MATERIALS CO.;LTD.,http://www.ahxinke.com,;;
600256,广汇能源,GUANGHUI ENERGY,GUANGHUI ENERGY CO.;LTD.,http://www.xjguanghui.com,;;
600257,大湖股份,DHGF,DAHU AQUACULTURE CO.;LTD.,http://www.dhszgf.com,;;
600258,首旅酒店,BTG HOTELS,BTG HOTELS（GROUP）CO.，LTD,www. btghotels. com,;;;
600259,广晟有色,RNM,Rising Nonferrous Metals Share Co.; Ltd.,www.gdnmi.com.cn,;;
600260,凯乐科技,KAILE TECH,HUBEI KAILE SCIENCE AND TECHNOLOGY CO.;LTD,http://www.cnkaile.com,;;
600261,阳光照明,ZHEJIANG YANKON,ZHEJIANG YANKON GROUP CO.;LTD.,www.yankon.com,;;
600262,北方股份,NHL,Inner Mongolia North Hauler Joint Stock Co.;Ltd.,http://www.chinanhl.com,;;
600265,*ST景谷,YJFC,YUNNAN JINGGU FORESTRY CO.;LTD,www.jgly.cn,;;
600266,北京城建,BUCID,BEIJING URBAN CONSTRUCTION INVESTMENT& DEVELOPMENT CO.;LTD.,http://www.bucid.com,;;
600267,海正药业,HISUN,ZHEJIANG HISUN PHARMACEUTICAL CO.;LTD,http://www.hisunpharm.com,;;
600268,国电南自,SAC,Guodian Nanjing Automation Co.;LTD.,HTTP://WWW.sac-china.com,;;
600269,赣粤高速, Ganyue Expressway ,Jiangxi Ganyue Expressway CO.;LTD.,http://www.600269.cn,;;
600270,外运发展,sinoair,Sinotrans Air Transportation Development Co.;Ltd.,http://www.sinoair.com,;;
600271,航天信息,Aisino Corporation,Aisino Corporation,http://www.aisino.com,;;;
600272,开开实业,SHKK,SHANGHAI KAI KAI INDUSTRIAL CO.;LTD.,http://www.chinesekk.com,;;
600273,嘉化能源,JHEC,Zhejiang Jiahua energy chemical industry Co.;Ltd.,www.jhec.com.cn,;;
600275,武昌鱼,wcy,Hubei Wuchangyu CO.;LTD,HTTP://www.wuchangyu.com.cn,;;
600276,恒瑞医药,HR,JIANGSU HENGRUI  MEDICINE CO.;LTD.,http://www.hrs.com.cn,;;
600277,亿利洁能,Elion, ELION ENERGY COMPANY LIMITED,http://www.elion.cn,;;;
600278,东方创业,OIE,Orient International Enterprise LTD.,HTTP://WWW.OIE.COM.CN,;;;
600279,重庆港九,CQGJ,CHONGQING GANGJIU CO.;LTD.,HTTP://WWW.CQGJ.COM.CN,;;
600280,中央商场,ZYSC,NANJING CENTRAL EMPORIUM STOCKS CO.; LTD.,www.600280.com,;;
600281,太化股份,TCICL,TAIYUAN CHEMICAL INDUSTRY CO.LTD .,http://th600281.cn,;;;
600282,南钢股份,Nisco,Nanjing Iron&Steel Co.;Ltd.,www.600282.net,;;
600283,钱江水利,QJSL,Qianjiang Water Resources Development Co.;Ltd,HTTP://WWW.QJWATER.COM,;;
600284,浦东建设,PD CONSTRUCTION,SHANGHAI PUDONG ROAD & BRIDGE CONSTRUCTION Co.;LTD,www.pdjs.com.cn,;;
600285,羚锐制药,Lingrui Pharma,Henan Lingrui Pharmaceutical Co.; Ltd,HTTP://www.lingrui.com,;;
600287,江苏舜天,JIANGSU SAINTY,JIANGSU SAINTY CORP.;LTD.,HTTP://www.saintycorp.com,;;
600288,大恒科技,DHKJ,Daheng New Epoch Technology;Inc.,http://www.dhxjy.com.cn,;;
600289,亿阳信通,Boco,Bright Oceans Inter-Telecom Corporation,http://www.boco.com.cn,;;;
600290,华仪电气,HUAYI ELEC,HUAYI ELECTRIC COMPANY LIMITED,www.heag.com,;;;
600291,西水股份,XSSYIM,Xishui Strong year Co.;Ltd Inner Mongloia,无,;;
600292,远达环保,SPICYD,SPIC YUANDA ENVIRONMENTAL?PROTECTION CO. ;LTD .,HTTP://www.zdydep.com,;;
